name,datetime,order_type,volume,min_price,max_price,range,median,avg_price,mod_rank,item_id
afuris_prime_receiver,2023-07-29T00:00:00.000+00:00,sell,224,10.0,25.0,15.0,17.0,17.5,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-28T00:00:00.000+00:00,closed,60,11.0,15.0,4.0,14.0,13.0,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-27T00:00:00.000+00:00,closed,32,12.0,16.0,4.0,14.5,14.0,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-27T00:00:00.000+00:00,buy,2539,6.0,10.0,4.0,8.0,8.0,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-29T00:00:00.000+00:00,buy,4295,3.0,11.0,8.0,8.0,7.0,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-29T00:00:00.000+00:00,closed,76,10.0,14.0,4.0,12.0,12.0,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-30T00:00:00.000+00:00,sell,212,10.0,25.0,15.0,18.0,17.5,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-30T00:00:00.000+00:00,buy,3084,3.0,11.0,8.0,8.0,7.0,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-30T00:00:00.000+00:00,closed,57,12.0,16.0,4.0,14.0,14.0,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-27T00:00:00.000+00:00,sell,232,10.0,25.0,15.0,17.0,17.5,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-28T00:00:00.000+00:00,buy,2368,6.0,10.0,4.0,8.0,8.0,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-28T00:00:00.000+00:00,sell,239,10.0,25.0,15.0,16.5,17.5,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-31T00:00:00.000+00:00,buy,12284,3.0,13.0,10.0,8.0,8.0,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-31T00:00:00.000+00:00,closed,73,10.0,20.0,10.0,15.0,15.0,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-26T00:00:00.000+00:00,closed,52,12.0,16.0,4.0,14.0,14.0,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-26T00:00:00.000+00:00,buy,2988,3.0,13.0,10.0,8.0,8.0,,639a941e74b02f0088877853
afuris_prime_receiver,2023-08-01T00:00:00.000+00:00,sell,204,10.0,30.0,20.0,18.0,20.0,,639a941e74b02f0088877853
afuris_prime_receiver,2023-08-01T00:00:00.000+00:00,buy,13201,3.0,12.0,9.0,8.0,7.5,,639a941e74b02f0088877853
afuris_prime_receiver,2023-08-01T00:00:00.000+00:00,closed,48,13.0,17.0,4.0,15.0,15.0,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-26T00:00:00.000+00:00,sell,178,13.0,20.0,7.0,18.0,16.5,,639a941e74b02f0088877853
afuris_prime_receiver,2023-07-31T00:00:00.000+00:00,sell,200,10.0,25.0,15.0,17.0,17.5,,639a941e74b02f0088877853
steflos_receiver,2023-07-27T00:00:00.000+00:00,buy,4,1.0,5.0,4.0,5.0,3.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-27T00:00:00.000+00:00,sell,87,6.0,14.0,8.0,10.0,10.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-28T00:00:00.000+00:00,sell,97,5.0,15.0,10.0,10.0,10.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-28T00:00:00.000+00:00,buy,6,1.0,5.0,4.0,5.0,3.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-26T00:00:00.000+00:00,closed,4,7.0,8.0,1.0,7.5,7.5,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-27T00:00:00.000+00:00,closed,2,7.0,8.0,1.0,7.5,7.5,,63ee00ff10125411da49e6f6
steflos_receiver,2023-08-01T00:00:00.000+00:00,closed,6,6.0,10.0,4.0,8.5,8.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-29T00:00:00.000+00:00,sell,69,8.0,12.0,4.0,10.0,10.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-29T00:00:00.000+00:00,buy,5,1.0,5.0,4.0,5.0,3.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-29T00:00:00.000+00:00,closed,6,7.0,10.0,3.0,9.0,8.5,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-26T00:00:00.000+00:00,buy,4,1.0,5.0,4.0,5.0,3.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-30T00:00:00.000+00:00,sell,70,8.0,12.0,4.0,10.0,10.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-30T00:00:00.000+00:00,buy,5,1.0,5.0,4.0,5.0,3.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-30T00:00:00.000+00:00,closed,3,6.0,10.0,4.0,6.0,8.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-31T00:00:00.000+00:00,sell,67,8.0,12.0,4.0,10.0,10.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-31T00:00:00.000+00:00,buy,4,1.0,5.0,4.0,5.0,3.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-31T00:00:00.000+00:00,closed,11,5.0,10.0,5.0,10.0,7.5,,63ee00ff10125411da49e6f6
steflos_receiver,2023-08-01T00:00:00.000+00:00,sell,67,8.0,12.0,4.0,10.0,10.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-08-01T00:00:00.000+00:00,buy,5,1.0,5.0,4.0,5.0,3.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-28T00:00:00.000+00:00,closed,5,7.0,9.0,2.0,8.0,8.0,,63ee00ff10125411da49e6f6
steflos_receiver,2023-07-26T00:00:00.000+00:00,sell,71,8.0,12.0,4.0,10.0,10.0,,63ee00ff10125411da49e6f6
